15|206
85|48
140|75
118|184
148|70
192|25
122|207
94|143
169|177
58|166
55|12
40|97
70|238
186|185
50|167
124|218
249|175
63|45
127|3
15|242
205|209
15|3
172|145
201|224
25|41
152|87
137|29
122|6
1|228
125|172
81|156
206|124
20|226
157|124
94|16
148|239
90|45
185|236
143|119
96|35
212|62
30|120
122|98
6|236
237|152
28|239
76|15
17|169
148|143
4|51
227|76
57|18
114|66
141|90
178|68
46|135
25|243
108|230
240|117
31|144
102|89
43|99
25|136
122|16
224|81
17|245
229|113
134|24
236|124
175|185
212|11
144|22
154|245
174|55
114|39
40|106
5|232
75|238
124|59
228|168
115|170
34|29
203|137
188|58
168|115
4|30
68|157
86|250
202|236
163|84
198|214
227|130
35|18
72|217
182|8
182|211
37|239
19|9
197|60
210|138
35|226
217|100
39|58
145|190
161|27
139|205
204|230
218|12
116|250
138|231
222|163
45|161
199|170
103|91
206|119
128|72
141|63
116|142
44|179
51|33
1|230
226|34
65|129
197|176
114|116
189|192
156|73
55|159
54|227
158|159
119|132
215|113
174|220
57|215
215|2
51|95
42|29
109|101
120|112
186|33
10|52
160|241
64|222
115|88
82|126
144|95
177|244
3|67
154|230
115|215
23|80
234|228
107|194
83|65
175|132
198|6
160|38
99|232
3|202
142|117
54|82
54|69
172|76
83|102
36|60
66|107
141|42
195|169
197|222
24|8
106|202
217|234
227|68
136|205
219|176
126|61
181|182
203|145
160|206
89|21
172|126
83|60
71|94
122|53
84|8
157|233
181|158
46|146
145|155
54|118
49|80
177|63
162|191
233|94
178|7
65|213
125|153
126|14
145|182
196|34
241|177
178|181
217|74
159|106
176|103
19|93
79|228
39|54
189|204
121|74
242|18
1|41
119|245
79|82
112|143
35|131
68|133
12|163
196|245
3|163
151|215
64|152
112|44
100|238
58|83
232|43
227|239
120|171
92|171
5|236
128|121
150|238
183|71
139|137
115|209
54|13
216|161
150|212
97|155
4|38
22|14
32|109
56|83
118|217
166|80
139|32
239|136
176|52
76|122
44|134
69|43
210|12
71|186
155|131
26|37
246|219
97|38
190|136
162|91
231|237
199|115
228|141
149|47
200|6
214|160
87|155
204|187
121|140
84|246
131|32
5|166
146|230
57|44
216|164
98|178
102|209
213|41
86|3
232|163
46|41
204|75
163|203
43|11
161|129
146|89
56|175
27|181
2|22
223|25
163|44
56|201
159|193
226|235
195|45
88|102
224|151
231|140
35|218
94|57
222|192
